Common Name,Scientific Name,Month observed at,Identification Agreements,Comments,Internal Positional Accuracy,Public Positional Accuracy,Quality Grade,Geoprivacy,Latitude,Longitude
Yucatán Neotropical Rattlesnake,Crotalus tzabcan,October,8,0,64,30472,research,obscured,-90.3712665992,20.4321436764
Rainforest Cat-eyed Snake,Leptodeira frenata,October,5,0,9,9,research,open,-89.7281544283,20.9967132706
,Oxybelis potosiensis,October,4,0,122,122,research,,-89.2957598625,21.3408499224
Faded Black-striped Snake,Coniophanes schmidti,October,3,0,?,? ,research,open,-89.627131,21.094171
Yucatán Hognose Viper,Porthidium yucatanicum,October,9,0,2888,2888,research,open,-88.4850599327,20.5971587905
,Oxybelis potosiensis,October,3,0,?,? ,research,,-89.0190721667,20.176405
Yucatán Hognose Viper,Porthidium yucatanicum,October,11,0,8,8,research,open,-88.4454500802,20.5889610551
Red Coffee Snake,Ninia sebae,October,6,0,15,15,research,open,-88.4447414657,20.5892236582
Yucatán White-lipped Snake,Symphimus mayae,October,4,0,247,247,research,open,-89.2886086716,21.3054817545
Pygmy Snail Sucker,Geophis sanniolus,September,3,0,20,20,research,open,-89.6628718078,21.067349145
,Conophis lineatus concolor,October,6,0,94,94,research,open,-89.5619020194,20.8126733572
Blood Snake,Stenorrhina freminvillei,October,4,0,4,4,research,open,-90.2264737068,19.9666624009
Terrestrial Snail Sucker,Geophis sartorii,October,2,0,1301,1301,research,open,-89.4983848364,20.2960789345
Brahminy Blindsnake,Indotyphlops braminus,August,3,0,?,? ,research,,-89.690212,21.0180569722
,Conophis lineatus concolor,September,4,0,40,40,research,open,-89.5541533333,21.0476638333
Chicken Snake,Spilotes pullatus,September,6,0,6177,6177,research,open,-90.3529154086,20.8426164927
Neotropical Whip Snake,Masticophis mentovarius,September,6,0,14284,14284,research,open,-89.5925858617,20.9677882782
Blood Snake,Stenorrhina freminvillei,September,5,0,15,15,research,open,-88.5492705668,20.6641889772
Central American Boa,Boa imperator,September,6,0,1669,1669,research,open,-89.4718546,20.7442201
Speckled Racer,Drymobius margaritiferus,September,4,0,?,? ,research,open,-89.619784,21.094913
